Show Name,Show Theatre,Show Type,Attendance,Gross,Performances,Date,Average Ticket Price in week
Tru,Booth,Play,5500,134456,8,26/08/1990,24.4465
Miss Saigon,Broadway,Musical,10973,573981,4,14/04/1991,52.3085
Miss Saigon,Broadway,Musical,14076,706793,8,21/04/1991,50.2126
Miss Saigon,Broadway,Musical,14065,714968,8,28/04/1991,50.8331
Miss Saigon,Broadway,Musical,14064,730765,8,05/05/1991,51.96
Miss Saigon,Broadway,Musical,13896,766713,8,12/05/1991,55.1751
Miss Saigon,Broadway,Musical,13738,763332,8,19/05/1991,55.5635
Miss Saigon,Broadway,Musical,13897,769137,8,26/05/1991,55.3455
Miss Saigon,Broadway,Musical,14016,774412,8,02/06/1991,55.252
Miss Saigon,Broadway,Musical,14088,771767,8,09/06/1991,54.7819
Miss Saigon,Broadway,Musical,14088,770819,8,16/06/1991,54.7146
Miss Saigon,Broadway,Musical,14088,771192,8,23/06/1991,54.7411
Miss Saigon,Broadway,Musical,14088,777088,8,30/06/1991,55.1596
Miss Saigon,Broadway,Musical,14088,779802,8,07/07/1991,55.3522
Miss Saigon,Broadway,Musical,14084,782314,8,14/07/1991,55.5463
Miss Saigon,Broadway,Musical,14088,781413,8,21/07/1991,55.4666
Miss Saigon,Broadway,Musical,14088,786612,8,28/07/1991,55.8356
Miss Saigon,Broadway,Musical,14088,782060,8,04/08/1991,55.5125
Miss Saigon,Broadway,Musical,14088,781332,8,11/08/1991,55.4608
Miss Saigon,Broadway,Musical,14088,784392,8,18/08/1991,55.678
Miss Saigon,Broadway,Musical,14088,786452,8,25/08/1991,55.8242
Miss Saigon,Broadway,Musical,14088,786995,8,01/09/1991,55.8628
Miss Saigon,Broadway,Musical,14088,783503,8,08/09/1991,55.6149
Miss Saigon,Broadway,Musical,14088,781614,8,15/09/1991,55.4808
Miss Saigon,Broadway,Musical,14088,780148,8,22/09/1991,55.3768
Miss Saigon,Broadway,Musical,14088,776172,8,29/09/1991,55.0945
Miss Saigon,Broadway,Musical,14088,775124,8,06/10/1991,55.0202
Miss Saigon,Broadway,Musical,14088,776901,8,13/10/1991,55.1463
Miss Saigon,Broadway,Musical,14088,771361,8,20/10/1991,54.7531
Miss Saigon,Broadway,Musical,14088,777898,8,27/10/1991,55.2171
Miss Saigon,Broadway,Musical,14088,784499,8,03/11/1991,55.6856
Miss Saigon,Broadway,Musical,14088,780494,8,10/11/1991,55.4013
Miss Saigon,Broadway,Musical,14088,781617,8,17/11/1991,55.481
Miss Saigon,Broadway,Musical,14088,779435,8,24/11/1991,55.3262
Miss Saigon,Broadway,Musical,14088,784733,8,01/12/1991,55.7022
Miss Saigon,Broadway,Musical,14088,782279,8,08/12/1991,55.528
Miss Saigon,Broadway,Musical,14088,780343,8,15/12/1991,55.3906
Miss Saigon,Broadway,Musical,14088,778474,8,22/12/1991,55.258
Miss Saigon,Broadway,Musical,14088,800315,8,29/12/1991,56.8083
Miss Saigon,Broadway,Musical,14088,837851,8,05/01/1992,59.4727
Miss Saigon,Broadway,Musical,14088,773439,8,12/01/1992,54.9006
Miss Saigon,Broadway,Musical,14082,735927,8,19/01/1992,52.2601
